Text,Label 
Tu pagal ho gaya hai kya?,ABUSIVE 
Kamina sala har waqt tang karta hai.,ABUSIVE 
Tujhe gaali bhi dena bekaar hai.,ABUSIVE 
Tere jaise kutte se baat nahi karte.,ABUSIVE 
Gandu kahi ka.,ABUSIVE 
Tere jaise log sirf gaali ke layak hain.,ABUSIVE 
Tu ek number ka ullu ka pattha hai.,ABUSIVE 
Teri aukaat kya hai chutiye?,ABUSIVE 
Tere jaisa chutiya maine nahi dekha.😂,ABUSIVE 
Bhosdiwale chup ho ja.,ABUSIVE 
Nikal yahan se madarchod.,ABUSIVE 
Tu sala harami hai.,ABUSIVE 
Bas kar bhosdiwale.,ABUSIVE 
Behenchod dimag mat kharab kar.,ABUSIVE 
"Haramkhor, tu sudhar jaa.",ABUSIVE 
"Madarchod, apni aukaat me reh.",ABUSIVE 
"Saale, tujhme tameez nahi hai.",ABUSIVE 
Teri maa ka bhosda.,ABUSIVE 
Tu to ekdum nalayak hai bhenchod.😂💩,ABUSIVE 
Kutte ki tarah bhauk mat.,ABUSIVE 
Teri behen ki chut mein dard hai kya?,ABUSIVE 
teri maa ka bharosa,ABUSIVE 
t3ri m@ k@ bh@r0s@,ABUSIVE 
chutiya banaya mujhe,ABUSIVE 
ch*t!y@ b@n@y@,ABUSIVE 
bhen ke laude pe dance,ABUSIVE 
bh3n k3 l@ud3 p3,ABUSIVE 
madarchod company,ABUSIVE 
m@drch0d c0mp@ny😣,ABUSIVE 
lund khajoor,ABUSIVE 
l*nd topi,ABUSIVE 
gaand mein danda,ABUSIVE 
g@@nd m3in b@mboo,ABUSIVE 
bhosda tight hai kya,ABUSIVE 
bh0sd@ t!ght,ABUSIVE 
randi baaz,ABUSIVE 
r@ndi khana,ABUSIVE 
kutte ki tarah bhonk,ABUSIVE 
kutt3 ki p00ch🤮,ABUSIVE 
saale napunsak,ABUSIVE 
s@@le jh@ntu,ABUSIVE 
jhantu insaan,ABUSIVE 
jhaant ke baal,ABUSIVE 
jh@@t k3 pissoo,ABUSIVE 
chut ka pujari,ABUSIVE 
ch*t k@ puj@ri,ABUSIVE 
bhadwa ban gaya,ABUSIVE 
bh@dw@ dalaal,ABUSIVE 
teri gaand jalti hai💩,ABUSIVE 
t3ri g@@nd j@lti,ABUSIVE 
maa ki kirkiri,ABUSIVE 
m@ ki aankh,ABUSIVE 
behen ki laudi,ABUSIVE 
bh3n ki l@udi,ABUSIVE 
lund pakad ke baith,ABUSIVE 
l*nd chaba ja,ABUSIVE 
chutiye ka dimag,ABUSIVE 
ch*t!y3 k@ d!m@g,ABUSIVE 
madarchod politics😣,ABUSIVE 
madrch0d neta,ABUSIVE 
bhen ke lode,ABUSIVE 
bh3n k3 l0d3,ABUSIVE 
madarchod saale,ABUSIVE 
madrch0d harami,ABUSIVE 
bhenchod tu mar ja,ABUSIVE 
bc tera baap hu,ABUSIVE 
bhen ke takke,ABUSIVE 
chutiya mat ban,ABUSIVE 
chut!ye aadmi😭😂,ABUSIVE 
randi ka baccha,ABUSIVE 
r@ndi rona band kar,ABUSIVE 
teri maa ki chut,ABUSIVE 
t3ri m@ ki ch*t,ABUSIVE 
gandu insaan,ABUSIVE 
g@ndu kahi ka,ABUSIVE 
lawde lag gaye tere,ABUSIVE 
l0d3 pe thappad,ABUSIVE 
behen ke lund,ABUSIVE 
bh3n k3 lund,ABUSIVE 
sala kutta,ABUSIVE 
s@la suar ka baccha,ABUSIVE 
harami aadmi,ABUSIVE 
h@r@mi zad,ABUSIVE 
chut marike,ABUSIVE 
ch*t m@rik3,ABUSIVE 
bhosdike,ABUSIVE 
bhosdi ke,ABUSIVE 
bh0sd!k3,ABUSIVE 
teri behen ki chut,ABUSIVE 
t3ri b3hn ki ch*t,ABUSIVE 
